,Days_Shifted,Correlation_Coefficient
445,-155,-0.08883410861340799
437,-163,-0.08878905299911216
444,-156,-0.08875958728251178
438,-162,-0.08874688001966348
454,-146,-0.08873419046780905
439,-161,-0.08872458468755628
443,-157,-0.08869547418592323
436,-164,-0.08869423915858905
440,-160,-0.0886850757972355
442,-158,-0.08863590785464445
441,-159,-0.08862077630328744
435,-165,-0.08856368492764459
455,-145,-0.08850253620534501
434,-166,-0.08839117830513107
499,-101,-0.08831768654091342
456,-144,-0.0882659875173428
433,-167,-0.0881889748993843
457,-143,-0.0879853094005169
432,-168,-0.08794566106186713
498,-102,-0.08778840404144525
431,-169,-0.08766241857092828
458,-142,-0.08762514970430652
430,-170,-0.08733242735757138
497,-103,-0.08723853565784319
459,-141,-0.08722859713077374
429,-171,-0.08697018919415335
460,-140,-0.08684945309025476
496,-104,-0.08679858920737477
428,-172,-0.0865581342376212
461,-139,-0.08651710556748553
495,-105,-0.08637466483828404
462,-138,-0.0861947873308692
427,-173,-0.08612551677296672
494,-106,-0.08601777223637751
463,-137,-0.08593998042672735
464,-136,-0.08582407294275067
465,-135,-0.08575698876672627
426,-174,-0.08570840269546863
466,-134,-0.08568744909302523
493,-107,-0.08566706867252796
467,-133,-0.0855575900331176
468,-132,-0.08539815835695345
492,-108,-0.08535301906301151
425,-175,-0.08532317154165599
469,-131,-0.08530514575642492
470,-130,-0.08516357337995543
491,-109,-0.08501077681033405
471,-129,-0.08499106384375618
424,-176,-0.08493794810884198
472,-128,-0.08485916758835343
490,-110,-0.08469091471891456
473,-127,-0.08465221296556322
423,-177,-0.08454981104384898
474,-126,-0.08443072712878003
489,-111,-0.0844141145974143
475,-125,-0.08420984580152119
422,-178,-0.08414287586044203
488,-112,-0.08414130901437764
476,-124,-0.08392540472754625
487,-113,-0.08389896084908559
421,-179,-0.08369029049576433
486,-114,-0.0836828082915281
477,-123,-0.08363219397252422
485,-115,-0.08355882041241566
478,-122,-0.0833977264480368
484,-116,-0.08337492365893014
420,-180,-0.08335834606934264
483,-117,-0.08323030485223382
479,-121,-0.08322564042491379
482,-118,-0.0830896869159156
419,-181,-0.08307869570417907
480,-120,-0.08306183094764555
481,-119,-0.08301549097763015
418,-182,-0.08276669803918918
417,-183,-0.08235537118782331
416,-184,-0.08181638358546409
415,-185,-0.0813305154519967
414,-186,-0.08078531174757336
413,-187,-0.08025763219336894
412,-188,-0.07970929355669955
411,-189,-0.07917946416528372
410,-190,-0.07861419851737449
409,-191,-0.07814656679432591
408,-192,-0.07765211529731529
407,-193,-0.07717900192163893
406,-194,-0.07667863131995062
405,-195,-0.07622621493443198
404,-196,-0.07579438843496161
403,-197,-0.07533814441949808
402,-198,-0.07498907018142732
401,-199,-0.07463706025619682
400,-200,-0.07432350582433891
399,-201,-0.07394304359895909
398,-202,-0.07356305140006067
397,-203,-0.07312673886779811
396,-204,-0.07271759264497395
395,-205,-0.07226927696598902
394,-206,-0.07184457263584557
393,-207,-0.07137562836083385
392,-208,-0.07089637603316185
391,-209,-0.070357068755384
390,-210,-0.06982544957740956
389,-211,-0.06938184714775109
388,-212,-0.06893724463613765
387,-213,-0.06851541574428513
386,-214,-0.06811434643981779
385,-215,-0.06763311624219666
384,-216,-0.06705083026441942
383,-217,-0.06652363000760611
382,-218,-0.0660587738111032
381,-219,-0.06559757737708273
380,-220,-0.06511605105951243
379,-221,-0.0646922955993884
378,-222,-0.0643200491275443
377,-223,-0.06384873588127929
376,-224,-0.0633456770853748
375,-225,-0.06284072007459268
374,-226,-0.062422368204122676
373,-227,-0.06179086731508432
372,-228,-0.0613497239125358
371,-229,-0.06106765641062622
370,-230,-0.06081651098073581
369,-231,-0.060575897579090286
368,-232,-0.06033171422422941
367,-233,-0.060126374055877625
366,-234,-0.059885528191737813
365,-235,-0.05974317956663497
364,-236,-0.0595339919941518
363,-237,-0.05933137056793744
362,-238,-0.05913293200648739
361,-239,-0.05895816301440545
360,-240,-0.058780816856194566
359,-241,-0.05844958099028317
358,-242,-0.0579220832642002
357,-243,-0.05744239994455379
356,-244,-0.05692148979542241
355,-245,-0.056331532059414054
354,-246,-0.05582702498236271
353,-247,-0.0553546066662242
352,-248,-0.05500110921849745
351,-249,-0.054760000109967955
350,-250,-0.054672998785641615
349,-251,-0.05421461816083901
348,-252,-0.053714788167683936
347,-253,-0.05321994754567576
346,-254,-0.05278218963363268
345,-255,-0.05240996728604288
344,-256,-0.052074065449589264
343,-257,-0.051684893432940755
342,-258,-0.05121705217092083
341,-259,-0.05076175839904079
340,-260,-0.05026028284661235
339,-261,-0.04971864430332639
338,-262,-0.04914098371124844
337,-263,-0.04851020282416432
336,-264,-0.047911476663823956
335,-265,-0.04723792010391385
334,-266,-0.04657798798304097
333,-267,-0.045855032563097406
332,-268,-0.04509861779001531
331,-269,-0.04441549227749005
330,-270,-0.04370274254506202
329,-271,-0.043046348467466355
328,-272,-0.042437887714136556
327,-273,-0.04172145476003865
326,-274,-0.04106041989177732
325,-275,-0.040439284728124206
324,-276,-0.039740797778639786
323,-277,-0.038980290848277865
322,-278,-0.03835265626380628
321,-279,-0.03771264529824168
320,-280,-0.03701001387492438
319,-281,-0.036342854911152064
318,-282,-0.03561772345955235
317,-283,-0.03491708616933863
316,-284,-0.034192393694288815
315,-285,-0.03354875446936722
314,-286,-0.03295008810949884
313,-287,-0.032341096825149455
312,-288,-0.031713864250148605
311,-289,-0.03108166049550952
310,-290,-0.030426869290045178
309,-291,-0.029674204327484677
308,-292,-0.028974844297067596
307,-293,-0.028216247724991376
306,-294,-0.027523745178323275
305,-295,-0.02681065037180088
304,-296,-0.026188271504293818
303,-297,-0.025652734603553492
302,-298,-0.025114244076273638
301,-299,-0.024573529469478324
300,-300,-0.023912185401548373
299,-301,-0.023209898305400375
298,-302,-0.02247252448803896
297,-303,-0.02185662308656792
296,-304,-0.02129185168342577
295,-305,-0.02070309290302568
294,-306,-0.020083651317281632
293,-307,-0.019554027539149418
292,-308,-0.018939931831515183
291,-309,-0.018208572616560094
290,-310,-0.017512343228694178
289,-311,-0.016865394935179058
288,-312,-0.016030812946683293
287,-313,-0.015166751521637226
286,-314,-0.014367072836337102
285,-315,-0.013579146496917388
284,-316,-0.012874157630593321
283,-317,-0.012061962668165536
282,-318,-0.01130562635696833
281,-319,-0.01052078390826054
280,-320,-0.009780131605888233
279,-321,-0.009026355291318093
278,-322,-0.008304483456253746
277,-323,-0.007606480495235154
276,-324,-0.006871876666884281
275,-325,-0.006143940603678763
274,-326,-0.005416270596325505
273,-327,-0.0047519320520050335
