,Days_Shifted,Correlation_Coefficient
740,140,-0.004268945983487143
936,336,-0.004136248961392303
721,121,-0.004111807660213752
275,-325,-0.003983401667944448
441,-159,-0.003900669443937351
479,-121,-0.0030917542800745325
260,-340,-0.002670330133951002
321,-279,-0.002649816947822764
403,-197,-0.0025061700700239596
544,-56,-0.0023558800101387166
810,210,-0.0020985553660575248
723,123,-0.002089380317605439
832,232,-0.0018581689052030157
160,-440,-0.0017204362852839608
653,53,-0.0013620537850533392
716,116,-0.0013536536376880755
650,50,-0.0008298588845482484
778,178,-0.0006185504218337413
541,-59,-0.000616515776466976
821,221,-0.00038946157699333453
1007,407,0.0001832278335518503
771,171,0.001160653642992582
845,245,0.0012052143054181647
760,160,0.0023718680991837507
671,71,0.0028613153634712853
400,-200,0.0030237251121857066
1026,426,0.0031415381961522972
903,303,0.0031488279324727504
751,151,0.003459210332347715
773,173,0.0036146102593316836
570,-30,0.00367637113941912
633,33,0.0036833937303902453
718,118,0.00433626684003077
359,-241,0.004446050896495635
448,-152,0.004818467072554413
752,152,0.005545393718045558
581,-19,0.0057396208522138914
214,-386,0.00594092978842832
699,99,0.005986260238115644
829,229,0.006017547898045269
519,-81,0.006123713101531424
442,-158,0.006214590151957169
402,-198,0.00655401039447599
443,-157,0.007068376387845059
594,-6,0.007648961364534512
722,122,0.007804441462861669
568,-32,0.007831998513286458
503,-97,0.0081352842542801
166,-434,0.008299303088789147
951,351,0.009332370431212164
697,97,0.00974047810291545
445,-155,0.010529808423116028
774,174,0.010810287175616558
901,301,0.010918519502504342
884,284,0.011378257725453008
543,-57,0.011718224163421073
420,-180,0.011720694501779125
720,120,0.01177809202467395
961,361,0.011785424807018283
447,-153,0.012407080763978303
843,243,0.013105080976604132
540,-60,0.013302653212199186
542,-58,0.013582590468434042
518,-82,0.01373036870411757
996,396,0.013737365061609037
502,-98,0.013829906148461042
611,11,0.013943711046907871
900,300,0.014021399696763415
640,40,0.014167288363460047
748,148,0.014197352968788051
480,-120,0.014515167763949588
886,286,0.015250519349353162
401,-199,0.015635927413168774
505,-95,0.01640515208672457
772,172,0.017321490769761656
826,226,0.017955469560476636
444,-156,0.01927758385963711
893,293,0.019385406378815254
491,-109,0.01951372621737506
319,-281,0.019912854020520506
569,-31,0.02000602978159907
846,246,0.02076173163451885
916,316,0.02094776516727999
571,-29,0.021346928890782643
446,-154,0.021499706694945782
759,159,0.021705114424353435
481,-119,0.02172870712150034
739,139,0.02193200720646545
320,-280,0.022020467326481274
1025,425,0.022205509610464833
859,259,0.022867683334899334
532,-68,0.02334484447212629
283,-317,0.023436091043430158
259,-341,0.023630736310411474
830,230,0.023726877158085996
381,-219,0.024448509507564834
777,177,0.024495757149925853
539,-61,0.024940991667085896
987,387,0.025112376330007912
501,-99,0.025252121617671795
823,223,0.02556409525567672
960,360,0.026706329822738184
634,34,0.027004332541603778
595,-5,0.02772075973547785
438,-162,0.027765581765548296
318,-282,0.028870190177312932
421,-179,0.02907439408927676
281,-319,0.02919685157930821
288,-312,0.029986745137452416
517,-83,0.030043624510912324
824,224,0.03057025605197696
828,228,0.0306236897950114
284,-316,0.030827955748245102
567,-33,0.031530530113053026
750,150,0.031608399655799264
825,225,0.03169614291776186
637,37,0.03177987851595376
360,-240,0.032022001929971074
